Ihre_SKU;Fehlerkategorie;Grund;Empfehlung;Ihre_Produktreferenz;EAN
Modelschiff-3master-SlJ-BT-1;Unerwünschte Auslobung;'Begriff: Dreimaster, Treffer: dreimaster' darf nicht genannt oder das Produkt nicht in Deutschland verkauft werden.;Beschäftigen Sie sich mit den aktuellen Verordnungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Modelschiff-3master-SlJ-BT-1;4251251216535
Halskette-Maori-Schildkröte-STR-HK002;Unerwünschte Auslobung;'Begriff: Indianer, Treffer: indianer,' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Halskette-Maori-Schildkröte-STR-HK002;4251251205294
Halskette-Delphin-gebog-STR-NS-2S-536-a;Unerwünschte Auslobung;'Begriff: Indianer, Treffer: indianer,' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Halskette-Delphin-gebog-STR-NS-2S-536-a;4251251211677
Halskette-Perlmut-Reiszahn-STR-NS-5S-522;Unerwünschte Auslobung;'Begriff: Indianer, Treffer: indianerschmuck,' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Halskette-Perlmut-Reiszahn-STR-NS-5S-522;4251251211691
Stierschaedel-Longhorn-HAI-301811;Unerwünschte Auslobung;'Begriff: Indianer, Treffer: indianer~indianer,' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Stierschaedel-Longhorn-HAI-301811;4251251215637
Wasserbeize-5L-KO-01000165QWKO;Unerwünschte Auslobung;'Begriff: Kolonial, Treffer: &#34kolonial&#34~kolonial' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;Wasserbeize-5L-KO-01000165QWKO;4251251262082
WOH-1-Windlicht-und-2-Spiegel-Haken-FLY-006;Unerwünschte Auslobung;'Begriff: Kolonial, Treffer: kolonialstil' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;WOH-1-Windlicht-und-2-Spiegel-Haken-FLY-006;4251251200541
WOH-Kerzenleuchter-Wand-groß-JUR-065-w;Unerwünschte Auslobung;'Begriff: Kolonial, Treffer: kolonialstil' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;WOH-Kerzenleuchter-Wand-groß-JUR-065-w;4251251202415
GAR-Kissen-Betawiatuhl-LIV-TU-029-36;Unerwünschte Auslobung;'Begriff: Kolonial, Treffer: kolonialstil' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;GAR-Kissen-Betawiatuhl-LIV-TU-029-36;4251251203818
WOH-Garderobenhaken-Martino-CHO-Can-47A;Unerwünschte Auslobung;'Begriff: Kolonial, Treffer: kolonialstil' oder das Produkt ist auf otto.de nicht erlaubt.;Beschäftigen Sie sich mit den Nutzungsbedingungen. Wenn das Produkt verkauft werden darf, entfernen Sie den Begriff aus Ihren Produktdaten. Wenn das Produkt nicht verkauft werden darf, deaktivieren Sie dieses.;WOH-Garderobenhaken-Martino-CHO-Can-47A;4251251209896
